product_id,product_name,category,sub_category,brand,color,size,style_tag,season,price,mrp,cost_price,launch_date,is_active,supplier_id,weight_grams
P00001,Allen Solly T-Shirt White,Tops,T-Shirt,Allen Solly,Cream,L,office,Summer,2375,3284.73,1289.58,2021-07-13,True,SUP0235,1641
P00002,Zara Loafers White,Footwear,Loafers,Zara,Mustard,XL,sporty,Winter,3143,4109.43,1148.48,2020-01-04,True,SUP0185,601
P00003,Libas T-Shirt Green,Tops,T-Shirt,Libas,Brown,S,sporty,Festive,455,658.21,247.67,2022-06-01,True,SUP0070,1982
P00004,Marks & Spencer Sports Bra Orange,Activewear,Sports Bra,Marks & Spencer,Pink,XS,casual,All Season,4478,5096.3,1819.16,2021-11-17,True,SUP0140,335
P00005,Allen Solly Oxford Coral,Footwear,Oxford,Allen Solly,Olive,S,sporty,Summer,1352,1813.48,683.25,2022-09-14,True,SUP0120,1180
P00006,Forever 21 Dhoti Purple,Ethnic Wear,Dhoti,Forever 21,Brown,L,sporty,Summer,3150,3614.82,1764.98,2021-02-03,True,SUP0069,1827
P00007,Here&Now Shorts Navy,Bottoms,Shorts,Here&Now,Teal,XXL,office,All Season,2238,2589.22,918.26,2020-10-10,True,SUP0099,429
P00008,Myntra Dhoti Brown,Ethnic Wear,Dhoti,Myntra,Coral,S,sporty,Monsoon,3718,4197.66,2198.19,2024-03-03,True,SUP0021,279
P00009,All About You Jewellery Navy,Accessories,Jewellery,All About You,Cream,XXL,party,Summer,2605,3316.15,1486.77,2022-09-03,True,SUP0039,249
P00010,Dressberry Thermal Innerwear Teal,Innerwear,Thermal Innerwear,Dressberry,Yellow,S,ethnic,Winter,482,716.87,189.02,2024-05-20,True,SUP0141,1906
P00011,Biba Sports Shoes White,Footwear,Sports Shoes,Biba,Yellow,XS,casual,Festive,5512,7298.79,2097.05,2021-06-03,True,SUP0337,955
P00012,Myntra Jeans Cream,Bottoms,Jeans,Myntra,Orange,XXL,minimalist,Festive,3754,5380.97,2090.26,2023-02-23,True,SUP0369,487
P00013,Nike Puffer Jacket Red,Outerwear,Puffer Jacket,Nike,Orange,M,streetwear,Festive,14568,21074.55,8540.77,2021-02-28,False,SUP0133,716
P00014,Nykaa Fashion Jacket White,Outerwear,Jacket,Nykaa Fashion,Teal,XS,minimalist,Winter,7544,9108.88,3177.04,2022-10-08,True,SUP0305,1615
P00015,Pepe Jeans Wallet Blue,Accessories,Wallet,Pepe Jeans,Orange,Free Size,minimalist,Monsoon,881,988.71,372.46,2020-02-14,True,SUP0020,157
P00016,Mango Maxi Dress Mint,Dresses,Maxi Dress,Mango,Purple,L,streetwear,Monsoon,2499,2795.21,962.0,2022-07-26,True,SUP0356,1865
P00017,Blackberrys Scarf Mint,Accessories,Scarf,Blackberrys,Green,XS,ethnic,Festive,6480,8707.89,2534.76,2020-09-14,True,SUP0024,1027
P00018,Mango Puffer Jacket Cream,Outerwear,Puffer Jacket,Mango,Yellow,L,minimalist,Monsoon,8502,9521.55,3504.61,2020-09-09,True,SUP0103,979
P00019,Libas Bra Olive,Innerwear,Bra,Libas,White,M,streetwear,All Season,577,658.6,233.06,2021-12-26,True,SUP0251,1390
P00020,Numero Uno Trousers Navy,Bottoms,Trousers,Numero Uno,Green,XS,casual,All Season,3932,5085.25,1806.16,2024-01-28,True,SUP0255,1819
P00021,H&M Sneakers Maroon,Footwear,Sneakers,H&M,Navy,S,casual,Winter,4425,6371.92,2325.81,2024-02-05,True,SUP0221,1708
P00022,Marks & Spencer Running Shoes Grey,Activewear,Running Shoes,Marks & Spencer,Orange,Free Size,ethnic,Monsoon,3122,3438.46,1797.87,2022-04-10,True,SUP0033,214
P00023,FabIndia Churidar Green,Ethnic Wear,Churidar,FabIndia,Navy,S,bohemian,Summer,2353,3271.2,1255.48,2022-07-01,True,SUP0305,1785
P00024,Allen Solly Kurti Purple,Tops,Kurti,Allen Solly,Blue,S,sporty,Winter,4849,6141.2,2278.28,2024-02-24,True,SUP0038,864
P00025,Dressberry Anarkali Navy,Ethnic Wear,Anarkali,Dressberry,Blue,S,formal,Winter,1165,1637.66,473.79,2023-05-13,True,SUP0334,1875
P00026,The Souled Store Sherwani Teal,Ethnic Wear,Sherwani,The Souled Store,Yellow,Free Size,casual,Monsoon,3244,3800.08,1837.89,2022-09-22,True,SUP0089,1612
P00027,Allen Solly Jeans Brown,Bottoms,Jeans,Allen Solly,Orange,L,party,Festive,2261,3089.52,957.85,2021-11-19,True,SUP0128,748
P00028,Reebok Casual Dress Olive,Dresses,Casual Dress,Reebok,Cream,S,streetwear,Summer,5141,6689.44,2343.18,2024-04-10,True,SUP0034,652
P00029,Allen Solly Polo Mustard,Tops,Polo,Allen Solly,Green,XXL,party,All Season,1392,1559.35,587.9,2021-03-19,False,SUP0194,466
P00030,Levis Dhoti Grey,Ethnic Wear,Dhoti,Levis,Coral,XS,sporty,Summer,3061,4212.92,1334.36,2023-10-16,True,SUP0258,1976
P00031,Bewakoof Sports Bra Blue,Activewear,Sports Bra,Bewakoof,Cream,XL,luxury,Monsoon,1349,1577.09,554.35,2020-11-18,True,SUP0192,804
P00032,Here&Now Mini Dress Olive,Dresses,Mini Dress,Here&Now,Red,XXL,party,Winter,10881,12966.54,6258.15,2020-02-26,True,SUP0030,1365
P00033,Wrangler Gym Vest Grey,Activewear,Gym Vest,Wrangler,Brown,XS,minimalist,Winter,1698,2470.13,696.11,2021-04-18,True,SUP0315,1044
P00034,Myntra Lehenga Coral,Dresses,Lehenga,Myntra,White,XL,office,Monsoon,8012,9227.1,2818.34,2020-07-15,True,SUP0090,1492
P00035,Lee Sweatshirt Brown,Tops,Sweatshirt,Lee,Purple,Free Size,minimalist,Winter,3343,4061.46,1282.15,2023-11-05,False,SUP0317,1539
P00036,Mamaearth Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Mamaearth,Teal,S,minimalist,Summer,792,985.0,304.48,2023-05-01,True,SUP0329,134
P00037,Global Desi Dhoti Red,Ethnic Wear,Dhoti,Global Desi,Green,Free Size,sporty,Festive,1972,2516.06,801.62,2021-05-12,True,SUP0227,1598
P00038,Uniqlo Sports Shoes Cream,Footwear,Sports Shoes,Uniqlo,Black,S,ethnic,Festive,5636,7848.98,3159.88,2022-06-30,True,SUP0019,928
P00039,FabIndia Thermal Innerwear Mint,Innerwear,Thermal Innerwear,FabIndia,Cream,M,minimalist,All Season,601,712.24,298.62,2020-02-01,True,SUP0384,1502
P00040,Reebok Gym Vest White,Activewear,Gym Vest,Reebok,Red,L,party,Monsoon,518,639.89,262.26,2024-05-19,True,SUP0117,1333
P00041,Only Blazer Grey,Outerwear,Blazer,Only,Navy,XL,sporty,Summer,12081,16978.46,4897.26,2021-01-30,True,SUP0100,1559
P00042,Pepe Jeans Hoodie Coral,Tops,Hoodie,Pepe Jeans,Cream,M,sporty,Monsoon,1596,2261.51,796.5,2023-02-27,True,SUP0222,1803
P00043,Blackberrys Chinos Teal,Bottoms,Chinos,Blackberrys,Orange,S,luxury,Monsoon,1230,1529.87,452.11,2021-07-12,False,SUP0180,128
P00044,Only Track Pants Olive,Activewear,Track Pants,Only,Red,M,formal,Monsoon,434,626.64,247.57,2022-04-20,False,SUP0387,327
P00045,Pepe Jeans Gym Vest Olive,Activewear,Gym Vest,Pepe Jeans,Grey,Free Size,bohemian,Winter,984,1294.47,376.35,2020-04-19,True,SUP0396,958
P00046,Tommy Hilfiger Gym Vest Blue,Activewear,Gym Vest,Tommy Hilfiger,Grey,XL,party,Festive,4437,5708.82,2625.38,2020-11-08,True,SUP0025,1478
P00047,Decathlon Watch Blue,Accessories,Watch,Decathlon,Black,XS,formal,Winter,1354,1554.0,548.45,2020-11-28,True,SUP0157,637
P00048,Levis Watch Green,Accessories,Watch,Levis,Navy,XS,formal,Summer,4779,5367.96,2757.92,2022-10-31,True,SUP0361,281
P00049,Levis Saree Beige,Dresses,Saree,Levis,Purple,M,casual,All Season,4454,5139.38,2518.28,2020-02-06,True,SUP0057,1788
P00050,Blackberrys Thermal Innerwear Blue,Innerwear,Thermal Innerwear,Blackberrys,Orange,S,minimalist,All Season,410,460.89,236.75,2021-04-14,True,SUP0384,1813
P00051,Koovs Dupatta Mustard,Ethnic Wear,Dupatta,Koovs,Maroon,S,ethnic,Monsoon,2862,4266.26,1090.41,2020-07-13,True,SUP0070,1454
P00052,Allen Solly Thermal Innerwear Black,Innerwear,Thermal Innerwear,Allen Solly,Red,S,luxury,Festive,637,804.14,368.58,2021-06-18,True,SUP0304,1228
P00053,LIFE Sports Shoes Red,Footwear,Sports Shoes,LIFE,Olive,L,luxury,Festive,720,813.12,253.54,2020-06-27,True,SUP0207,1797
P00054,Global Desi Mini Dress Mint,Dresses,Mini Dress,Global Desi,Red,XL,office,Festive,9283,12937.79,5098.8,2024-02-22,True,SUP0099,1298
P00055,Reebok Boots Coral,Footwear,Boots,Reebok,Mint,M,casual,All Season,5394,6768.05,3096.0,2024-05-29,False,SUP0181,1608
P00056,Mango Belt Mint,Accessories,Belt,Mango,Teal,S,casual,All Season,5716,8519.34,2444.29,2021-04-24,False,SUP0190,1862
P00057,Peter England Boxers Teal,Innerwear,Boxers,Peter England,Pink,XXL,bohemian,Monsoon,241,344.85,114.75,2024-02-11,True,SUP0028,1075
P00058,Tommy Hilfiger Handbag Grey,Accessories,Handbag,Tommy Hilfiger,Black,L,luxury,Winter,6067,7082.78,3134.2,2020-06-08,True,SUP0305,115
P00059,True Blue Blouse Pink,Tops,Blouse,True Blue,Maroon,XS,ethnic,Summer,2114,3049.88,1267.44,2023-09-25,True,SUP0385,114
P00060,Only Tank Top Mustard,Tops,Tank Top,Only,Coral,Free Size,bohemian,Winter,4868,5397.8,2620.09,2021-05-28,False,SUP0366,1101
P00061,Numero Uno Dhoti Mustard,Ethnic Wear,Dhoti,Numero Uno,Brown,M,formal,Winter,4750,5962.72,2513.98,2023-06-15,True,SUP0084,1529
P00062,Nike Skirt Mustard,Bottoms,Skirt,Nike,Red,XXL,ethnic,Winter,1710,1883.99,973.54,2023-04-01,False,SUP0090,166
P00063,Here&Now Socks Purple,Innerwear,Socks,Here&Now,Maroon,M,sporty,Winter,230,330.64,86.67,2021-01-06,True,SUP0055,1335
P00064,FabIndia Sandals Red,Footwear,Sandals,FabIndia,Navy,S,party,Winter,1287,1635.57,554.25,2023-08-14,True,SUP0312,393
P00065,Bewakoof Thermal Innerwear Cream,Innerwear,Thermal Innerwear,Bewakoof,Coral,XL,luxury,Monsoon,763,1135.44,376.02,2020-12-01,True,SUP0362,646
P00066,LIFE Boxers Olive,Innerwear,Boxers,LIFE,Teal,XL,bohemian,All Season,253,321.84,93.78,2022-11-08,True,SUP0276,475
P00067,Myntra Oxford Brown,Footwear,Oxford,Myntra,Blue,XL,ethnic,Summer,567,734.25,322.47,2020-08-30,True,SUP0039,1569
P00068,Marks & Spencer Casual Dress Black,Dresses,Casual Dress,Marks & Spencer,Beige,Free Size,sporty,Summer,4498,5655.77,1669.1,2022-09-10,True,SUP0189,1215
P00069,W Mini Dress Grey,Dresses,Mini Dress,W,Teal,L,minimalist,All Season,11450,15415.03,6054.64,2024-02-22,True,SUP0383,122
P00070,Spykar Jacket Purple,Outerwear,Jacket,Spykar,Mint,XS,casual,Summer,13595,19282.39,7886.24,2022-05-01,True,SUP0374,1437
P00071,Pepe Jeans Trousers Pink,Bottoms,Trousers,Pepe Jeans,Teal,XL,luxury,Winter,3736,4537.83,1954.09,2021-10-18,True,SUP0378,1099
P00072,Cover Story Gym Vest White,Activewear,Gym Vest,Cover Story,Yellow,XXL,bohemian,Festive,4871,7149.81,2150.34,2020-05-17,True,SUP0076,1915
P00073,Only Polo Brown,Tops,Polo,Only,Cream,XXL,minimalist,Monsoon,3934,5076.71,2274.04,2024-03-27,True,SUP0111,1977
P00074,Libas Kurti Red,Tops,Kurti,Libas,Navy,Free Size,casual,Monsoon,1341,1980.86,590.92,2022-08-17,False,SUP0182,336
P00075,U.S. Polo Boots Blue,Footwear,Boots,U.S. Polo,Green,M,ethnic,Monsoon,2391,3009.39,882.26,2020-11-24,True,SUP0153,1387
P00076,W Chinos Red,Bottoms,Chinos,W,Brown,L,luxury,Festive,3656,4689.8,1330.06,2023-06-07,True,SUP0035,998
