campaign_id,promo_id,campaign_name,channel,target_segment,budget,amount_spent,impressions,clicks,conversions,start_date,end_date,status
CAM00001,PR011896,Campaign Profound national conglomerati,Email,Impulse Buyer,1152492,860544.07,785899,19921,4082,2024-05-27,2024-07-25,Completed
CAM00002,PR000925,Campaign Face-to-face 24/7 orchestratio,Email,Family Shopper,580035,533946.99,687533,35967,4045,2022-12-04,2022-12-21,Paused
CAM00003,PR004671,Campaign Monitored incremental portal,SMS,Brand Loyalist,563604,480320.35,133800,39087,3562,2022-04-10,2022-06-27,Completed
CAM00004,PR006192,Campaign Fully-configurable 24/7 Intern,Push Notification,Budget Shopper,3835089,2874380.92,501538,30424,1497,2022-05-31,2022-07-16,Completed
CAM00005,PR007495,Campaign Balanced grid-enabled forecast,In-App,Brand Loyalist,4581149,2510359.23,893163,41161,2476,2022-01-29,2022-02-27,Active
CAM00006,PR006416,Campaign Operative clear-thinking proce,WhatsApp,Impulse Buyer,1608083,1262102.29,467176,19414,3944,2024-09-20,2024-12-06,Completed
CAM00007,PR007110,Campaign Adaptive empowering knowledgeb,WhatsApp,Working Professional,2837238,1147998.09,640654,30290,3904,2023-03-21,2023-04-24,Completed
CAM00008,PR011146,Campaign Managed analyzing initiative,Email,Frequent Buyer,548276,259094.76,930756,16526,1172,2024-11-23,2025-01-01,Active
CAM00009,PR001685,Campaign Open-source bifurcated impleme,Push Notification,Budget Shopper,710849,461171.09,69549,37075,4049,2022-02-20,2022-02-27,Paused
CAM00010,PR013388,Campaign Multi-lateral didactic project,In-App,Frequent Buyer,4670225,3325173.58,216017,32902,3166,2023-10-21,2024-01-15,Completed
CAM00011,PR002691,Campaign Multi-lateral encompassing arc,In-App,Brand Loyalist,2365401,2254799.29,811348,37311,4432,2024-11-05,2025-01-13,Completed
CAM00012,PR013107,Campaign Intuitive impactful protocol,SMS,Luxury Shopper,1523227,845466.99,871262,28066,2492,2024-07-18,2024-09-03,Completed
CAM00013,PR001639,Campaign Enhanced context-sensitive gro,SMS,Frequent Buyer,991426,656597.34,20694,40312,2328,2023-12-26,2024-03-09,Active
CAM00014,PR005237,Campaign Universal well-modulated instr,Push Notification,Fashion Enthusiast,1895853,884054.37,958849,37540,4654,2022-02-23,2022-04-30,Active
CAM00015,PR008161,Campaign Organic foreground function,SMS,Seasonal Buyer,3294043,2602447.62,219242,15691,281,2024-11-06,2025-01-19,Completed
CAM00016,PR017747,Campaign Devolved global circuit,Push Notification,Impulse Buyer,2594686,1323685.51,463987,38824,3229,2023-12-08,2023-12-30,Completed
